gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1933386281	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004188	Animalia	Arthropoda	Insecta	Lepidoptera	Saturniidae	Goodia			GENUS	Goodia Holland, 1893	Goodia kuntzei		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1958-12-01	1	12	1958	1866603		PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.560Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386280	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004164	Animalia	Arthropoda	Insecta	Lepidoptera	Saturniidae	Micragone	Micragone ansorgei		SPECIES	Micragone bilineata Rothschild, 1907	Micragone bilineata		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1960-02-01	1	2	1960	1866690	1866699	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.614Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386279	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004186	Animalia	Arthropoda	Insecta	Lepidoptera	Saturniidae	Goodia			GENUS	Goodia Holland, 1893	Goodia kuntzei		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1972-12-07	7	12	1972	1866603		PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.561Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386278	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004205	Animalia	Arthropoda	Insecta	Lepidoptera	Saturniidae	Goodia			GENUS	Goodia Holland, 1893	Goodia kuntzei		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1974-11-16	16	11	1974	1866603		PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.551Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386277	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004240	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Agrius	Agrius convolvuli		SPECIES	Herse convolvuli (Linnaeus, 1758)	Herse convolvulus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1964-09-09	9	9	1964	9588330	1861644	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.535Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386276	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004244	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Agrius	Agrius convolvuli		SPECIES	Herse convolvuli (Linnaeus, 1758)	Herse convolvulus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1972-12-13	13	12	1972	9588330	1861644	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.536Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386275	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004235	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Agrius	Agrius convolvuli		SPECIES	Herse convolvuli (Linnaeus, 1758)	Herse convolvulus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1926-06-07	7	6	1926	9588330	1861644	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.534Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386274	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004206	Animalia	Arthropoda	Insecta	Lepidoptera	Saturniidae	Goodia			GENUS	Goodia Holland, 1893	Goodia kuntzei		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1921-04-01	1	4	1921	1866603		PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.547Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386273	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004236	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Agrius	Agrius convolvuli		SPECIES	Herse convolvuli (Linnaeus, 1758)	Herse convolvulus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1925-09-14	14	9	1925	9588330	1861644	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.534Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386272	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004243	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Agrius	Agrius convolvuli		SPECIES	Herse convolvuli (Linnaeus, 1758)	Herse convolvulus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1974-02-01	1	2	1974	9588330	1861644	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.533Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
